idx,t_sec,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
223,1774840365.24151,map,base_footprint,7.29940404458651,3.86561859009171,0,0,0,-0.740745519402879,0.671785736291386,-1.66835887624061
224,1774840367.27357,map,base_footprint,7.29138787508276,3.84357671507727,0,0,0,-0.69094627460754,0.722906111196995,-1.52559444433105
225,1774840369.32779,map,base_footprint,7.29959537395874,3.82583130200185,0,0,0,-0.672399976133641,0.740187997805611,-1.47489283847487
226,1774840387.72375,map,base_footprint,7.29931982306509,3.81731542926956,0,0,0,-0.693533982203504,0.720423913768102,-1.53276592910188
227,1774840390.17843,map,base_footprint,7.30629194838247,3.77062930863345,0,0,0,-0.684703893676163,0.728821362190147,-1.5083946804003
228,1774840391.93047,map,base_footprint,7.31015560929427,3.75097978666641,0,0,0,-0.656164104262703,0.754618226838661,-1.43144845569034
229,1774840394.74946,map,base_footprint,7.31785409983974,3.709520054942,0,0,0,-0.624915436057644,0.780692447623829,-1.35004641818092
230,1774840396.92645,map,base_footprint,7.31017430879799,3.6424633551662,0,0,0,-0.56697273151961,0.823736560869549,-1.20565228522512
231,1774840399.22852,map,base_footprint,7.34139816265548,3.59733456225896,0,0,0,-0.54484582873233,0.838536238282509,-1.1524104922859
232,1774840401.38022,map,base_footprint,7.36418253854059,3.55245273857113,0,0,0,-0.497918972573318,0.867223556386432,-1.04239494874415
233,1774840403.53915,map,base_footprint,7.3902338631492,3.49620969986738,0,0,0,-0.44243911668946,0.896798543722642,-0.91663331780496
234,1774840405.7534,map,base_footprint,7.41658526554668,3.46685760885973,0,0,0,-0.452849708013245,0.891586867305884,-0.939917949112379
235,1774840407.72188,map,base_footprint,7.45163298171914,3.42665727081562,0,0,0,-0.468048479061914,0.883702790109791,-0.974162275758807
236,1774840409.95484,map,base_footprint,7.48295629759451,3.38262867854134,0,0,0,-0.469722157650759,0.882814303583667,-0.977952056438601
237,1774840412.09281,map,base_footprint,7.5213102739628,3.33308554697147,0,0,0,-0.483104909550647,0.875562474280426,-1.00839489139445
238,1774840414.17794,map,base_footprint,7.53897624208187,3.2980924789881,0,0,0,-0.473131310940864,0.880991919717417,-0.985683402432729
239,1774840416.14743,map,base_footprint,7.56606944307461,3.26338178945783,0,0,0,-0.502109341975689,0.864804144706037,-1.05207230257408
240,1774840417.96111,map,base_footprint,7.58906778297902,3.22844100433217,0,0,0,-0.5092229617754,0.860634635138913,-1.06856336462484
241,1774840420.04148,map,base_footprint,7.61963851966508,3.19226300190805,0,0,0,-0.535922870076525,0.844266946722978,-1.13120094119586
242,1774840422.04091,map,base_footprint,7.64465269414787,3.14892044647136,0,0,0,-0.537007231182995,0.843577639377179,-1.13377075352624
243,1774840424.38571,map,base_footprint,7.66331242563593,3.10086235297473,0,0,0,-0.556917516453128,0.830567805701425,-1.18133973079193
244,1774840426.5116,map,base_footprint,7.69022976526706,3.04638134570526,0,0,0,-0.60506425802557,0.79617664099116,-1.29969314640445
245,1774840430.48124,map,base_footprint,7.69298066026027,3.00424212893211,0,0,0,-0.629973213919592,0.776616861614413,-1.36303744070656
246,1774840435.96828,map,base_footprint,7.70395046368627,2.97728757768481,0,0,0,-0.670762141079757,0.741672535620741,-1.47047181679296
247,1774840438.2282,map,base_footprint,7.69781040488789,2.94862169654882,0,0,0,-0.705156623133266,0.709051575593264,-1.56528802523744
248,1774840440.48278,map,base_footprint,7.70062096926794,2.92672295342372,0,0,0,-0.736736046652967,0.676180447485845,-1.65646106760495
249,1774840442.36814,map,base_footprint,7.69929846953556,2.88831056664526,0,0,0,-0.760895277664162,0.648874700098854,-1.72938347997823
250,1774840445.12013,map,base_footprint,7.69479171028508,2.87395859783504,0,0,0,-0.757117185851788,0.65327908805339,-1.71777784247152
251,1774840446.88272,map,base_footprint,7.69174880984627,2.82118723346198,0,0,0,-0.775651307466225,0.631161666473762,-1.77549272060096
252,1774840449.7026,map,base_footprint,7.68860690552028,2.80283032294405,0,0,0,-0.764702013927493,0.644384070174951,-1.74115753589533
253,1774840451.89224,map,base_footprint,7.68415537335835,2.75819855226706,0,0,0,-0.776191660928033,0.630497030528917,-1.77720587307255
254,1774840454.19122,map,base_footprint,7.67087700782032,2.71403229314922,0,0,0,-0.763517911769823,0.645786650842714,-1.73748638817538
255,1774840457.06317,map,base_footprint,7.66445688223767,2.67489058088992,0,0,0,-0.755194995095344,0.655500205478949,-1.7119030876252
256,1774840459.1098,map,base_footprint,7.66634201876145,2.61658744930875,0,0,0,-0.754627734825025,0.656153169490822,-1.7101731786545
257,1774840461.42081,map,base_footprint,7.65531317677645,2.57267841716801,0,0,0,-0.757177319293594,0.653209389971827,-1.71796194954257
258,1774840463.71706,map,base_footprint,7.64961696896586,2.50485593304547,0,0,0,-0.767885547562006,0.640587063438998,-1.75106757056512
