# timestamp tx ty tz qx qy qz qw
1770106707517483154 -4.963784 -0.137891 7.176290 -0.000864 0.137246 -0.026632 0.990178
1770106707867232422 -4.929709 -0.132931 7.225584 -0.001030 0.109547 -0.024392 0.993682
1770106708285307861 -4.897666 -0.137495 7.271291 -0.003716 0.078457 -0.024189 0.996617
1770106708633777832 -4.837111 -0.137984 7.337590 -0.005029 0.036743 -0.017684 0.999156
1770106709051860107 -4.767459 -0.142359 7.381615 -0.006341 -0.006508 -0.019380 0.999771
1770106709400013672 -4.823879 -0.141154 7.480748 -0.009001 0.029048 -0.026100 0.999197
1770106709748186279 -4.895727 -0.105196 7.572337 0.002560 0.106546 -0.034775 0.993696
1770106710165677002 -4.871802 -0.135636 7.605478 -0.006090 0.153126 -0.031137 0.987697
1770106710513413086 -4.896401 -0.119775 7.694625 -0.002038 0.221941 -0.037482 0.974337
1770106710930687256 -4.833807 -0.115049 7.800532 -0.001133 0.291597 -0.038987 0.955746
1770106711278484863 -4.756303 -0.116247 7.897010 0.001088 0.341606 -0.029373 0.939383
1770106711626281250 -4.632202 -0.107545 7.974456 0.000929 0.382565 -0.024279 0.923609
1770106712043653076 -4.475725 -0.117768 8.079386 -0.001234 0.426841 -0.016538 0.904175
1770106712391425537 -4.359711 -0.122095 8.221184 -0.009066 0.500402 -0.018070 0.865557
1770106712739192871 -4.226105 -0.081302 8.320395 -0.002084 0.560424 -0.023991 0.827856
1770106713156668945 -4.032796 -0.087935 8.426581 -0.002027 0.625108 -0.037704 0.779624
1770106713505416748 -4.060205 -0.108124 8.437581 -0.001817 0.662709 -0.033523 0.748124
1770106713923988770 -3.947913 -0.117574 8.471759 0.003034 0.672933 -0.025740 0.739250
1770106714272240234 -3.898678 -0.116474 8.471780 0.002444 0.672208 -0.027055 0.739864
1770106714620029053 -3.839583 -0.117123 8.470669 0.003281 0.670851 -0.026439 0.741113
1770106715037366699 -3.792723 -0.114480 8.472072 0.005616 0.667619 -0.025776 0.744036
1770106715385122070 -3.747197 -0.124298 8.451154 0.005031 0.648372 -0.022489 0.760975
1770106715802410156 -3.698051 -0.125660 8.438541 0.005521 0.629365 -0.020859 0.776810
1770106716150140625 -3.697677 -0.135994 8.402288 0.007379 0.605862 -0.018106 0.795329
1770106716498377930 -3.700753 -0.150585 8.357436 0.008841 0.582643 -0.014370 0.812553
1770106716916406006 -3.718346 -0.168812 8.355518 0.009078 0.566439 -0.008803 0.824007
1770106717264791992 -3.701720 -0.182895 8.329062 0.007922 0.541044 -0.008316 0.840916
1770106717682768066 -3.660673 -0.192334 8.334665 0.005707 0.542543 -0.010550 0.839942
1770106718031107666 -3.521747 -0.173418 8.402406 0.004879 0.565302 -0.011369 0.824791
1770106718379207031 -3.489199 -0.188382 8.434866 0.001212 0.584064 -0.017179 0.811525
1770106718796417969 -3.426207 -0.191398 8.449738 0.001209 0.597065 -0.016469 0.802023
1770106719144074951 -3.370042 -0.188432 8.472916 0.002147 0.605186 -0.018288 0.795871
1770106719491707275 -3.291329 -0.187366 8.503060 0.003135 0.613054 -0.017688 0.789836
1770106719908834717 -3.262031 -0.188971 8.499970 0.002175 0.614676 -0.018846 0.788552
1770106720256416992 -3.167054 -0.199225 8.532982 0.001105 0.618534 -0.018447 0.785541
1770106720673855469 -3.150477 -0.190085 8.531359 0.000636 0.614084 -0.018560 0.789022
1770106721021670166 -3.084482 -0.183880 8.531951 0.004251 0.594948 -0.017502 0.803563
1770106721369475586 -3.047469 -0.179422 8.537747 0.003708 0.576433 -0.015864 0.816982
1770106721716992188 -3.022741 -0.167441 8.518263 0.005925 0.549879 -0.014293 0.835101
1770106723246086670 -2.965818 -0.173470 8.525161 0.003471 0.529023 -0.012097 0.848514
1770106723454584473 -2.931348 -0.175786 8.525302 0.004061 0.505504 -0.008699 0.862771
1770106722272953369 -2.890140 -0.135632 8.533648 0.005586 0.492448 -0.010633 0.870259
1770106723698992920 -2.827507 -0.165682 8.594687 -0.000033 0.497647 -0.009883 0.867323
1770106723842497314 -2.795850 -0.167993 8.619790 -0.002968 0.511862 -0.012904 0.858966
1770106723936858154 -2.730868 -0.184245 8.654890 -0.005822 0.535507 -0.010532 0.844445
1770106724122438965 -2.676377 -0.203191 8.685739 -0.008967 0.556362 -0.013723 0.830778
1770106724387714600 -2.602801 -0.208236 8.751277 -0.013158 0.598677 -0.017071 0.800701
1770106724638385986 -2.537620 -0.174110 8.751761 -0.008317 0.630713 -0.018221 0.775758
1770106724931742920 -2.419490 -0.176828 8.762103 -0.007566 0.668364 -0.018992 0.743553
1770106725192881836 -2.355430 -0.159788 8.749154 -0.003804 0.698137 -0.023007 0.715585
1770106725454150391 -2.308013 -0.159672 8.753663 -0.000530 0.729688 -0.022888 0.683397
1770106725762084961 -2.264637 -0.161042 8.771736 -0.000332 0.766538 -0.025980 0.641673
1770106726036788818 -2.176493 -0.156373 8.753484 -0.002025 0.793928 -0.029727 0.607281
1770106726361280029 -2.092747 -0.142574 8.748658 -0.001770 0.825683 -0.035998 0.562982
1770106726634372070 -1.572293 -0.085233 8.577332 0.001250 0.857500 -0.042262 0.512743
1770106726914418213 -1.965572 -0.142673 8.706946 0.001351 0.849828 -0.035890 0.525835
1770106727246059814 -1.938393 -0.142640 8.675134 0.004183 0.850789 -0.035067 0.524320
1770106727535680420 -1.626083 -0.156680 8.529225 0.004255 0.852130 -0.035926 0.522078
1770106727888334229 -1.614581 -0.158407 8.506190 0.005179 0.849993 -0.035802 0.525550
1770106728179835449 -1.864244 -0.145377 8.629827 0.004792 0.850834 -0.036209 0.524164
1770106728481205566 -1.818854 -0.140730 8.611938 0.007050 0.850406 -0.035579 0.524876
1770106728844523193 -1.523923 -0.160144 8.470583 0.001739 0.852308 -0.036867 0.521736
1770106729145767090 -1.480780 -0.136227 8.475346 0.002928 0.864979 -0.040812 0.500138
1770106729459513916 -1.738731 -0.145940 8.555328 0.008016 0.847419 -0.034882 0.529717
1770106729836959717 -1.371452 -0.135259 8.379524 0.003883 0.895966 -0.040422 0.442262
1770106730151552979 -1.147815 -0.081501 8.319985 0.010411 0.929093 -0.044942 0.366957
1770106730541234375 -1.033111 -0.052419 8.280113 0.007496 0.951079 -0.047286 0.305214
1770106730866382324 -0.928988 -0.041897 8.199008 0.003465 0.976067 -0.051396 0.211282
1770106731195678223 -0.961956 0.016833 8.153378 0.004492 0.988473 -0.059021 0.139345
1770106731599003662 -0.951827 0.046306 8.166306 0.005947 0.996777 -0.066504 0.044479
1770106731936534424 -0.880257 0.046463 8.335546 0.011801 0.996880 -0.067525 -0.039121
1770106732350133301 -0.879624 -0.104719 8.654687 0.018307 0.987867 -0.059383 -0.142330
1770106732698280029 -0.857247 -0.118307 8.643821 0.027518 0.981882 -0.056583 -0.178742
1770106733048541016 -0.846993 -0.116641 8.646707 0.033389 0.977275 -0.057262 -0.201343
1770106733473046875 -0.927684 -0.140605 8.514783 0.035477 0.975364 -0.058986 -0.209589
1770106733830023682 -1.052105 -0.149966 8.452777 0.036484 0.977124 -0.056822 -0.201665
1770106734264701904 -1.045969 -0.182373 8.406316 0.032813 0.977145 -0.054927 -0.202717
1770106734633044922 -0.973333 -0.099129 8.358026 0.043697 0.975984 -0.058645 -0.205200
1770106735005387207 -0.957854 -0.116084 8.313791 0.041197 0.982264 -0.059182 -0.173081
1770106735427407959 -1.021086 -0.155909 8.164964 0.034024 0.989703 -0.062441 -0.124224
1770106735805238525 -1.262460 -0.132095 7.939991 0.034831 0.996149 -0.063162 -0.049852
1770106736187909180 -1.293006 -0.125682 7.834367 0.029768 0.997555 -0.063226 -0.000875
1770106736651933838 -1.348262 -0.111856 7.690825 0.030614 0.995148 -0.066889 0.065342
1770106737043455566 -1.374463 -0.107636 7.605990 0.032546 0.989895 -0.069974 0.118965
1770106737521019775 -1.322091 -0.097978 7.385833 0.033787 0.981683 -0.064744 0.175967
